,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,url
Aos Pés da Cruz,5JpzCoU3507wF3znYcQbFA,0.732,0.3,-15.131,0.099,0.9,0.208,0.117,0.55,169.157,4,1,https://open.spotify.com/track/5JpzCoU3507wF3znYcQbFA
Unhappy Remark (Palpite Infeliz),0dfj6j9cYQYGmZej4WvMHL,0.642,0.324,-18.311,0.0784,0.609,0.132,0.115,0.718,90.458,6,1,https://open.spotify.com/track/0dfj6j9cYQYGmZej4WvMHL
Agua de Beber,0bORdXCiaglwcI2c4V3hNA,0.669,0.255,-20.363,0.046,0.561,0.84,0.0574,0.896,137.306,4,0,https://open.spotify.com/track/0bORdXCiaglwcI2c4V3hNA
Pra Que Discutir Com Madame? - Live,13VTZ3mO1X6tYFvAwn61aB,0.572,0.0939,-23.918,0.417,0.963,0.304,0.7,0.686,166.497,2,1,https://open.spotify.com/track/13VTZ3mO1X6tYFvAwn61aB
Fotografia,7Fp9aHipEXSe218KJOQOG1,0.56,0.49,-11.836,0.105,0.922,0.00812,0.105,0.292,85.274,0,1,https://open.spotify.com/track/7Fp9aHipEXSe218KJOQOG1
Triste,0w4ufcWQwpRuLjOS1dpxu7,0.654,0.173,-24.864,0.171,0.319,0.000803,0.0973,0.426,135.719,7,1,https://open.spotify.com/track/0w4ufcWQwpRuLjOS1dpxu7
The Girl From Ipanema,3QczGFzPU2pr54vcRn90at,0.542,0.261,-15.787,0.0457,0.839,0.00114,0.141,0.362,133.682,5,1,https://open.spotify.com/track/3QczGFzPU2pr54vcRn90at
Até Quem Sabe,2rdVCNThL8kxzsRzusmt5t,0.568,0.305,-11.53,0.0294,0.925,0.0271,0.1,0.3,88.096,9,1,https://open.spotify.com/track/2rdVCNThL8kxzsRzusmt5t
Só Danço Samba,3oAUlcseAPHcBVJ6nHWbJv,0.607,0.22,-15.021,0.0504,0.875,0.172,0.112,0.769,82.585,8,1,https://open.spotify.com/track/3oAUlcseAPHcBVJ6nHWbJv
Ê Lalá Lay-Ê,7BQSe1LHaS5mDtUT91eHmW,0.509,0.28,-16.18,0.0518,0.965,0.825,0.193,0.224,113.309,2,1,https://open.spotify.com/track/7BQSe1LHaS5mDtUT91eHmW
Corcovado (Quiet Nights Of Quiet Stars) - Single Version,6OeIgS4Sk5Qea5Ds5MGTGe,0.527,0.145,-15.927,0.0468,0.954,0.000248,0.138,0.39,103.749,9,0,https://open.spotify.com/track/6OeIgS4Sk5Qea5Ds5MGTGe
Rosa Morena,2a9RgLSgbfIQwEiwCltTSK,0.584,0.166,-15.187,0.0512,0.816,5.97e-06,0.145,0.528,155.299,9,1,https://open.spotify.com/track/2a9RgLSgbfIQwEiwCltTSK
O Pato,0Eb3TL58Q9d0MUToLIcuAG,0.786,0.428,-12.116,0.0687,0.806,0.478,0.145,0.687,83.937,2,1,https://open.spotify.com/track/0Eb3TL58Q9d0MUToLIcuAG
Outra Vez,4x3lE3wPWKKQRRFREo8AMw,0.401,0.225,-13.507,0.0324,0.864,0.00601,0.114,0.431,110.018,6,0,https://open.spotify.com/track/4x3lE3wPWKKQRRFREo8AMw
Mas Que Nada,0Vl9aGb0dmeiCQ2ATgNK2B,0.592,0.761,-6.432,0.0514,0.614,3.58e-05,0.301,0.843,88.47,5,0,https://open.spotify.com/track/0Vl9aGb0dmeiCQ2ATgNK2B
Samba Do Aviao,26yZOj0NBntzksJCkBMm6v,0.476,0.296,-16.647,0.0384,0.728,0.0,0.964,0.411,81.081,4,0,https://open.spotify.com/track/26yZOj0NBntzksJCkBMm6v
Meu Mundo Caiu,4XWgUf9Hke6SekbfxEhdGG,0.399,0.267,-9.05,0.0293,0.582,1.34e-05,0.298,0.405,103.062,1,0,https://open.spotify.com/track/4XWgUf9Hke6SekbfxEhdGG
Doralice,1Hy8rhQjCQtscISAE6GmVP,0.74,0.367,-11.622,0.0782,0.859,3.42e-06,0.114,0.949,88.795,7,0,https://open.spotify.com/track/1Hy8rhQjCQtscISAE6GmVP
Sambalamento,4fJrqBOXrJ9QwaqJ9UsptN,0.646,0.244,-17.422,0.0359,0.799,0.00315,0.11,0.661,99.637,5,1,https://open.spotify.com/track/4fJrqBOXrJ9QwaqJ9UsptN
Tim-Tim-Por-Tim-Tim,4KDhYE59IceF0kklPXyVQI,0.625,0.416,-8.857,0.0294,0.843,0.0,0.112,0.624,89.374,5,1,https://open.spotify.com/track/4KDhYE59IceF0kklPXyVQI
Samba da Bênção,2moGHNaU8a4j1iowyOiYnF,0.597,0.549,-11.817,0.0543,0.372,0.000923,0.0992,0.866,159.381,0,1,https://open.spotify.com/track/2moGHNaU8a4j1iowyOiYnF
One Note Samba,00KsnoekYhjdUu9yAPvXVh,0.487,0.329,-14.222,0.178,0.851,0.0301,0.974,0.491,81.902,7,1,https://open.spotify.com/track/00KsnoekYhjdUu9yAPvXVh
Dindi - Live,3ZlYRldUJNor2B8ETwhT2I,0.345,0.111,-21.39,0.216,0.925,0.0,0.976,0.428,180.41,2,0,https://open.spotify.com/track/3ZlYRldUJNor2B8ETwhT2I
Este Seu Olhar,7lDKmjx051iKv7kU6keNEm,0.476,0.206,-16.716,0.0521,0.838,0.0494,0.107,0.374,107.503,0,1,https://open.spotify.com/track/7lDKmjx051iKv7kU6keNEm
Children's Games,0oiNDJWFLPQoAm35OwT66P,0.328,0.334,-18.008,0.0426,0.378,0.823,0.0947,0.755,168.999,1,1,https://open.spotify.com/track/0oiNDJWFLPQoAm35OwT66P
Para Machuchar Meu Coracao,0jsezJ6ZF2MjxTGIqSQfWC,0.595,0.11,-18.383,0.0428,0.953,0.368,0.0889,0.392,130.559,3,1,https://open.spotify.com/track/0jsezJ6ZF2MjxTGIqSQfWC
Wave,7i325B6qZFdkne07FRsWlk,0.547,0.324,-20.681,0.0341,0.79,0.911,0.149,0.877,144.948,7,1,https://open.spotify.com/track/7i325B6qZFdkne07FRsWlk
Master Of Puppets,2MuWTIM3b0YEAskbeeFE1i,0.543,0.836,-9.11,0.0353,0.000647,0.431,0.153,0.56,105.173,4,0,https://open.spotify.com/track/2MuWTIM3b0YEAskbeeFE1i
Sunset over the Empire,1AtE4xrxLR7nSPWSk1VGqM,0.39,0.942,-7.743,0.0806,7.71e-06,0.102,0.14,0.17,90.216,0,1,https://open.spotify.com/track/1AtE4xrxLR7nSPWSk1VGqM
Start The Healing,42qa1IoXDeSt0zzWTOuwyG,0.468,0.95,-3.366,0.264,0.00201,0.326,0.282,0.412,149.968,9,1,https://open.spotify.com/track/42qa1IoXDeSt0zzWTOuwyG
We’ll Be Back,4SsN1B9ZaSOFmBb4wVu1WB,0.405,0.96,-3.916,0.074,0.0001,0.0576,0.182,0.417,174.952,2,1,https://open.spotify.com/track/4SsN1B9ZaSOFmBb4wVu1WB
The Chapeltown Rag,4DQEhtFcX9nK0zWNjb1xBw,0.516,0.997,-2.43,0.249,0.00188,0.00087,0.17,0.0762,95.038,11,1,https://open.spotify.com/track/4DQEhtFcX9nK0zWNjb1xBw
Party in My Head,0iqJIE15UsLphh2BdZ3aoh,0.445,0.914,-5.001,0.0494,0.000152,0.0,0.549,0.587,135.032,4,0,https://open.spotify.com/track/0iqJIE15UsLphh2BdZ3aoh
Welcome To The Circus,1r3PWB1ZzxrPsIj2DNoa10,0.489,0.987,-4.57,0.0806,7.62e-05,0.0,0.788,0.297,139.982,11,0,https://open.spotify.com/track/1r3PWB1ZzxrPsIj2DNoa10
Amazonia,1GWtUkDQk7XC35r7kTPfqx,0.382,0.954,-4.831,0.0417,0.00038,0.776,0.244,0.513,181.933,9,1,https://open.spotify.com/track/1GWtUkDQk7XC35r7kTPfqx
Circle The Drain,37LTDJrNmWco1qHO1AuZ1r,0.448,0.969,-3.309,0.11,0.000129,0.000135,0.0771,0.387,92.512,5,0,https://open.spotify.com/track/37LTDJrNmWco1qHO1AuZ1r
The Great Heathen Army,15rzwcnr5ZRaRF7xQjg9Wd,0.4,0.985,-7.286,0.0623,0.00269,0.00125,0.188,0.506,200.035,4,1,https://open.spotify.com/track/15rzwcnr5ZRaRF7xQjg9Wd
Protect The Land,11ajcVj3qSyyMPUpTJUP3y,0.432,0.886,-3.991,0.0341,9.2e-05,4.74e-05,0.338,0.248,76.04,8,1,https://open.spotify.com/track/11ajcVj3qSyyMPUpTJUP3y
Filth Upon Filth,718mw16SXeGzuvPTVJLcpN,0.241,0.991,-4.731,0.176,3.76e-05,0.432,0.259,0.225,105.785,1,1,https://open.spotify.com/track/718mw16SXeGzuvPTVJLcpN
Becoming,6grZ25M9c5o8T75z0tY0xq,0.445,0.942,-6.558,0.0592,1.74e-06,0.0439,0.313,0.384,120.037,7,1,https://open.spotify.com/track/6grZ25M9c5o8T75z0tY0xq
Days Of Future Past,2L42uB1e5wuanTTPEWVe64,0.433,0.92,-4.738,0.0409,0.000576,5.5e-05,0.123,0.476,92.466,4,0,https://open.spotify.com/track/2L42uB1e5wuanTTPEWVe64
Midnight Sun,4AbEyowmGAEGnLUZ9YCphR,0.368,0.989,-4.764,0.112,4e-06,0.391,0.976,0.0755,110.241,5,0,https://open.spotify.com/track/4AbEyowmGAEGnLUZ9YCphR
Am I Evil?,1bqxO1wuMODj6x7fiCCovB,0.242,0.973,-4.739,0.148,2.57e-05,0.82,0.121,0.369,148.095,8,1,https://open.spotify.com/track/1bqxO1wuMODj6x7fiCCovB
Hardcore,1kKzLv3w7I5NXzEtWkSzi4,0.462,0.935,-5.215,0.0417,1.44e-05,0.0415,0.111,0.721,139.961,6,0,https://open.spotify.com/track/1kKzLv3w7I5NXzEtWkSzi4
Put Your Back Into The Oar,4fY2JR0REUiykvzRw61sk9,0.477,0.934,-8.199,0.0554,0.000392,0.254,0.343,0.328,139.947,4,0,https://open.spotify.com/track/4fY2JR0REUiykvzRw61sk9
Patient Number 9 (feat. Jeff Beck),6kAOsnRUgp21bPiUoVZeuJ,0.316,0.869,-4.244,0.0642,0.000197,0.199,0.133,0.302,169.916,7,0,https://open.spotify.com/track/6kAOsnRUgp21bPiUoVZeuJ
Heart of the Android,5b6x7e0p8HqA4CZ4eQEoiE,0.503,0.982,-2.838,0.117,9.9e-05,0.000764,0.0685,0.076,139.99,7,1,https://open.spotify.com/track/5b6x7e0p8HqA4CZ4eQEoiE
Sainted by the Storm,5zlUrvdz6o5tIC2bBg31iZ,0.499,0.961,-7.15,0.0537,0.000231,3.71e-06,0.259,0.541,106.034,10,0,https://open.spotify.com/track/5zlUrvdz6o5tIC2bBg31iZ
Fever Dreams,2Ei1eAAU4ME4ld72p9wCbW,0.55,0.802,-5.708,0.0322,0.00381,0.00768,0.105,0.796,97.625,11,1,https://open.spotify.com/track/2Ei1eAAU4ME4ld72p9wCbW
State Of Slow Decay,4CbZ37zpHKk3FQuV7bRVHB,0.465,0.991,-4.815,0.115,1.5e-05,0.00937,0.216,0.134,119.986,10,0,https://open.spotify.com/track/4CbZ37zpHKk3FQuV7bRVHB
The Writing On The Wall,20sXcaJkWP0DdzA58Colw3,0.402,0.912,-5.447,0.0442,0.00158,0.000179,0.0923,0.566,90.045,2,0,https://open.spotify.com/track/20sXcaJkWP0DdzA58Colw3
Get in the Ring,1UR4uh8g1YO3RxK4QBFf1m,0.511,0.993,-6.551,0.0883,0.000194,0.00648,0.449,0.105,134.989,6,0,https://open.spotify.com/track/1UR4uh8g1YO3RxK4QBFf1m
"Deceiver, Deceiver",3jpGc7gcoTyQsrlfQ332Ql,0.185,0.983,-7.301,0.235,1.66e-05,0.191,0.197,0.102,178.864,1,1,https://open.spotify.com/track/3jpGc7gcoTyQsrlfQ332Ql
BEST TIME,0cTHs20lsSAahzUnlG05Lg,0.375,0.925,-7.462,0.112,4.41e-05,7.02e-06,0.0863,0.307,170.11,4,0,https://open.spotify.com/track/0cTHs20lsSAahzUnlG05Lg
Moonlight Rendezvous,30cxiM2snx2Hstvhk8Z7pv,0.425,0.958,-5.785,0.0515,0.000254,0.00107,0.0394,0.621,102.002,4,0,https://open.spotify.com/track/30cxiM2snx2Hstvhk8Z7pv
Let Sleeping Corpses Lie,6OHdACPsqiigqRCy0VsIY6,0.524,0.937,-5.201,0.0607,0.000189,0.00696,0.121,0.394,116.977,11,1,https://open.spotify.com/track/6OHdACPsqiigqRCy0VsIY6
Forged in Metal,1IMU0K1z2oFPfPQzlxSx4X,0.452,0.949,-4.759,0.0503,9.19e-05,0.74,0.226,0.788,176.94,11,1,https://open.spotify.com/track/1IMU0K1z2oFPfPQzlxSx4X
Beast of Gévaudan,1i0fcF53lHffHnDxM293On,0.463,0.962,-5.697,0.0712,0.000761,0.0,0.239,0.188,109.899,1,0,https://open.spotify.com/track/1i0fcF53lHffHnDxM293On
Too Mean to Die,5BM618dNRZxN40mCCMFjP0,0.56,0.981,-5.445,0.104,3.08e-05,0.115,0.102,0.237,111.012,4,0,https://open.spotify.com/track/5BM618dNRZxN40mCCMFjP0
Slave New World,1rriJU19bJPPSZTkfnOEsH,0.287,0.992,-4.741,0.122,1.81e-05,0.263,0.29,0.181,98.372,9,1,https://open.spotify.com/track/1rriJU19bJPPSZTkfnOEsH
Together We Rise,4Asn26WKTDwVEx5sJrEc8T,0.581,0.968,-5.749,0.042,0.000151,0.666,0.0599,0.605,120.013,5,0,https://open.spotify.com/track/4Asn26WKTDwVEx5sJrEc8T
Where Angels Fear to Fly,4Ytkv0PncFeYbkJ58N9J3I,0.491,0.933,-6.283,0.0484,1.18e-05,0.000134,0.221,0.426,90.007,9,0,https://open.spotify.com/track/4Ytkv0PncFeYbkJ58N9J3I
UNHALLØWED,7F50EgojtGvz0imM1Koix8,0.511,0.978,-3.866,0.066,0.00018,0.000954,0.308,0.223,115.044,7,1,https://open.spotify.com/track/7F50EgojtGvz0imM1Koix8
Paint the Sky with Blood,7j0DSyekwDBBkAesbD5bzH,0.42,0.987,-5.114,0.122,1.28e-05,0.183,0.0541,0.131,95.978,0,0,https://open.spotify.com/track/7j0DSyekwDBBkAesbD5bzH
Smoke Signals,63cTVY6A0yeJ0DsjXBwYVH,0.35,0.954,-4.562,0.233,2.2e-05,0.00238,0.355,0.323,170.088,4,0,https://open.spotify.com/track/63cTVY6A0yeJ0DsjXBwYVH
House of Mirrors,1mnIf0uQCOesEO4484G0iR,0.35,0.941,-7.225,0.0854,3.75e-05,0.195,0.216,0.29,85.205,1,1,https://open.spotify.com/track/1mnIf0uQCOesEO4484G0iR
One Night in Tokyo,4ug7b6iy2tYn3OryBRrGkH,0.469,0.977,-5.458,0.0558,1.25e-05,0.691,0.045,0.727,127.971,4,1,https://open.spotify.com/track/4ug7b6iy2tYn3OryBRrGkH
Eye of the Storm,4ngbdRQfneBbVGU4V7jjDg,0.433,0.935,-6.704,0.0577,8.2e-06,2.32e-05,0.146,0.436,163.057,6,0,https://open.spotify.com/track/4ngbdRQfneBbVGU4V7jjDg
Masters of War,4Avnu5FR70qWD9VxandTWe,0.41,0.992,-5.978,0.095,4.43e-05,0.878,0.121,0.104,123.933,2,1,https://open.spotify.com/track/4Avnu5FR70qWD9VxandTWe
Koolaid,7tcBbo9I71WtmLAuzha5mN,0.545,0.92,-4.232,0.0306,0.000446,0.0669,0.375,0.332,129.032,11,1,https://open.spotify.com/track/7tcBbo9I71WtmLAuzha5mN
Demons Are A Girl's Best Friend,12frB4w7ukdn1hzfBiWRjq,0.455,0.983,-4.65,0.0738,0.000669,1.18e-05,0.15,0.313,143.009,1,0,https://open.spotify.com/track/12frB4w7ukdn1hzfBiWRjq
Dear Anxiety,5cbH16EGi9Vop7CtemHgbR,0.416,0.984,-3.116,0.277,0.00525,0.0,0.367,0.415,97.503,4,0,https://open.spotify.com/track/5cbH16EGi9Vop7CtemHgbR
Venerate Me,6D1i1hoMyjs843XbMhNq8J,0.3,0.932,-7.188,0.0678,0.000126,0.00481,0.273,0.276,104.922,7,1,https://open.spotify.com/track/6D1i1hoMyjs843XbMhNq8J
Heartless Madness,6syHCS66oykczN2ZN7zQPX,0.446,0.904,-5.787,0.0432,5.85e-05,0.000123,0.191,0.636,152.975,2,1,https://open.spotify.com/track/6syHCS66oykczN2ZN7zQPX
Down and Out,2mjhf9C6pE6oUkxF7mRyd7,0.336,0.969,-5.362,0.0943,1.49e-05,0.00445,0.291,0.247,124.016,6,0,https://open.spotify.com/track/2mjhf9C6pE6oUkxF7mRyd7
Wolves in Winter,6tk9GCcjDX5racqg7r6M4R,0.606,0.96,-6.462,0.131,0.024,0.167,0.201,0.148,101.972,1,1,https://open.spotify.com/track/6tk9GCcjDX5racqg7r6M4R
Die by the Blade,7G0n4t8Ul5r0BpS2lw5hYT,0.552,0.864,-6.523,0.0375,0.000931,0.0199,0.0856,0.898,140.986,8,0,https://open.spotify.com/track/7G0n4t8Ul5r0BpS2lw5hYT
The Moon,3j3QVCJXXZXfgB5sjN1TEY,0.376,0.914,-5.61,0.0496,0.000221,0.0282,0.113,0.191,96.276,5,0,https://open.spotify.com/track/3j3QVCJXXZXfgB5sjN1TEY
Feast Of Fire,4iJg7QdhqLHwfYOmYHqU9z,0.346,0.949,-3.973,0.0837,1.42e-05,0.422,0.0524,0.323,178.027,6,1,https://open.spotify.com/track/4iJg7QdhqLHwfYOmYHqU9z
Construction of Souls,01tykAEjuZsAX5I1y0FLf8,0.382,0.855,-8.068,0.038,0.000147,0.745,0.106,0.55,136.138,9,1,https://open.spotify.com/track/01tykAEjuZsAX5I1y0FLf8
Blood Of The Elves,5yxBjLv4Zh3VLp4kSvoZyG,0.368,0.951,-5.973,0.105,8.26e-05,3.66e-05,0.203,0.0796,184.031,11,0,https://open.spotify.com/track/5yxBjLv4Zh3VLp4kSvoZyG
Strongest Of The Strong,6hPlZWKfEk8bEF4SA71XMt,0.377,0.977,-5.501,0.0788,9.89e-06,0.763,0.599,0.246,147.043,5,0,https://open.spotify.com/track/6hPlZWKfEk8bEF4SA71XMt
Downright Dominate,1FOp9dG9z5ps8gYQrafzQN,0.498,0.993,-6.298,0.0809,0.00028,0.00787,0.155,0.233,99.98,2,1,https://open.spotify.com/track/1FOp9dG9z5ps8gYQrafzQN
Separate Ways,62eNYg3cHHfr1ThVxe2vaM,0.401,0.979,-1.928,0.0822,0.00056,0.0,0.153,0.245,139.03,4,0,https://open.spotify.com/track/62eNYg3cHHfr1ThVxe2vaM
Prescribing Horror,3Ikpm8FSxVV5ho2nUjRK4o,0.45,0.9,-6.948,0.0575,0.000562,0.00419,0.816,0.414,159.976,5,1,https://open.spotify.com/track/3Ikpm8FSxVV5ho2nUjRK4o
Life's a Bitch,1KyA5lXW7cAgMLwxRdVAu3,0.612,0.822,-6.418,0.0428,0.000719,0.00019,0.14,0.686,128.018,9,1,https://open.spotify.com/track/1KyA5lXW7cAgMLwxRdVAu3
Archangel,28aQT80RVsVsD1X98WCew1,0.407,0.967,-7.104,0.0666,0.000316,0.00142,0.089,0.227,180.027,0,1,https://open.spotify.com/track/28aQT80RVsVsD1X98WCew1
Hammer Of Dawn,4CSGVziAkUelYOIlOPNu6G,0.544,0.888,-7.509,0.0541,0.000211,0.000237,0.38,0.2,129.936,1,1,https://open.spotify.com/track/4CSGVziAkUelYOIlOPNu6G
Dracula,3T5Qp0PzqIVHw3tY1QIjyU,0.474,0.925,-4.483,0.0653,3.84e-06,0.000109,0.139,0.528,94.975,1,1,https://open.spotify.com/track/3T5Qp0PzqIVHw3tY1QIjyU
Hellfire Thunderbolt,008eogHQPXUzUuIURJoZuJ,0.414,0.978,-3.144,0.0913,0.000268,0.364,0.0998,0.253,174.045,8,0,https://open.spotify.com/track/008eogHQPXUzUuIURJoZuJ
Fear of the Fallen,6sKD7OL6nPhkY8VcQuYdai,0.458,0.965,-7.605,0.143,0.000227,8.62e-05,0.196,0.0709,135.048,4,0,https://open.spotify.com/track/6sKD7OL6nPhkY8VcQuYdai
Turborider,07QtZcsiO25zCmq7oQ8utc,0.479,0.759,-6.355,0.0465,0.00804,0.000604,0.198,0.193,179.969,1,1,https://open.spotify.com/track/07QtZcsiO25zCmq7oQ8utc
The Undertaker,3uBjEUnGmq3JOhCEjFzHw8,0.625,0.737,-8.438,0.0351,0.00939,0.0205,0.228,0.224,124.999,4,0,https://open.spotify.com/track/3uBjEUnGmq3JOhCEjFzHw8
Deliver Us From Evil,4Cb1AimuiTJ5szNlCcf895,0.358,0.94,-5.808,0.0794,9.42e-05,0.286,0.0845,0.131,184.072,6,1,https://open.spotify.com/track/4Cb1AimuiTJ5szNlCcf895
Presence of Mind,7kn8PMqB1Cx3qnzB0Slayd,0.505,0.934,-7.717,0.0498,0.00237,5.71e-06,0.217,0.248,95.061,8,1,https://open.spotify.com/track/7kn8PMqB1Cx3qnzB0Slayd
Escape the Silence,7zcTurWu11xVY7MGfjPvaH,0.466,0.991,-2.0,0.0566,4.61e-06,0.00221,0.0755,0.421,156.024,9,1,https://open.spotify.com/track/7zcTurWu11xVY7MGfjPvaH
Roses on Your Grave,2xMEKnHsZLusGWXSCaKkh9,0.495,0.965,-6.744,0.0781,0.00039,3.35e-06,0.305,0.466,151.968,1,0,https://open.spotify.com/track/2xMEKnHsZLusGWXSCaKkh9
Down for Life,3pKsUMqpVr4ZJ13Mm91Xig,0.344,0.955,-10.614,0.0444,5.4e-06,0.111,0.0665,0.352,111.671,1,1,https://open.spotify.com/track/3pKsUMqpVr4ZJ13Mm91Xig
Eye to Eye,3ojlZUEkinb7XA4tZuvx3y,0.457,0.973,-4.146,0.0709,3.73e-06,3.16e-06,0.311,0.379,105.015,11,0,https://open.spotify.com/track/3ojlZUEkinb7XA4tZuvx3y
Sad But True,1PhLYngBKbeDtdmDzCg3Pb,0.633,0.846,-6.347,0.0337,0.000819,0.00139,0.0762,0.448,89.23,7,1,https://open.spotify.com/track/1PhLYngBKbeDtdmDzCg3Pb
Now the Screaming Starts,4TW7ReI5Jzvm3TQ59DWA7v,0.456,0.944,-4.458,0.0758,0.000136,0.194,0.297,0.49,175.026,0,1,https://open.spotify.com/track/4TW7ReI5Jzvm3TQ59DWA7v
Zombie Apocalypse,1rdDtBy28Z5wtSIatYHot0,0.392,0.977,-6.009,0.101,3.78e-05,0.0776,0.119,0.207,195.984,4,0,https://open.spotify.com/track/1rdDtBy28Z5wtSIatYHot0
From Hell with Love,3iKSyNDGzJ3FcjXoDKqehS,0.502,0.9,-5.655,0.0482,0.000104,0.00212,0.161,0.552,120.066,4,0,https://open.spotify.com/track/3iKSyNDGzJ3FcjXoDKqehS
Death by Design,6SvjyJTHQiE0hNtW8onMuR,0.17,0.989,-3.333,0.133,3.8e-05,0.544,0.0725,0.343,94.465,1,1,https://open.spotify.com/track/6SvjyJTHQiE0hNtW8onMuR
A New Land,4K21taEZsYaCLsWosMcqeq,0.343,0.967,-5.088,0.16,1.34e-05,0.00302,0.0556,0.222,169.929,2,0,https://open.spotify.com/track/4K21taEZsYaCLsWosMcqeq
Jinnslammer,2AjEKcRXkntPkujLXp6hGD,0.311,0.988,-3.397,0.113,2.83e-05,0.13,0.132,0.269,195.058,7,1,https://open.spotify.com/track/2AjEKcRXkntPkujLXp6hGD
Into the Black,69uGltZ3kbIqYmPDHp1p2E,0.418,0.929,-4.122,0.0539,0.000131,0.00134,0.245,0.546,170.037,7,1,https://open.spotify.com/track/69uGltZ3kbIqYmPDHp1p2E
Dangerous Ground,0eeH8SFeeaIv0lQz61cyL2,0.439,0.975,-3.798,0.131,0.000105,8.59e-05,0.228,0.636,172.018,1,1,https://open.spotify.com/track/0eeH8SFeeaIv0lQz61cyL2
Choke,2KGCOtaTbNIbwrxS0a2UMv,0.503,0.981,-5.701,0.0936,0.000682,9.06e-05,0.194,0.34,124.91,1,1,https://open.spotify.com/track/2KGCOtaTbNIbwrxS0a2UMv
The Best Is yet to Come,0ojGXbSAH6INkZX24Kfs2u,0.402,0.647,-7.243,0.032,0.00281,1.77e-05,0.111,0.508,167.973,11,0,https://open.spotify.com/track/0ojGXbSAH6INkZX24Kfs2u
Cyberhex,5nYKbDASgvCDV4BLVmuGv4,0.526,0.944,-3.815,0.144,0.000207,1.76e-05,0.0994,0.281,112.531,6,0,https://open.spotify.com/track/5nYKbDASgvCDV4BLVmuGv4
Out of My Life,4Zcl7dDFtMU5bLlzDDxkZ8,0.447,0.952,-7.439,0.0512,8.67e-05,3.31e-06,0.449,0.37,140.05,0,0,https://open.spotify.com/track/4Zcl7dDFtMU5bLlzDDxkZ8
Northwards,5NS3gor1NtqKcp55Y6M2oD,0.194,0.882,-5.587,0.0633,0.000166,0.0811,0.062,0.0994,138.183,0,1,https://open.spotify.com/track/5NS3gor1NtqKcp55Y6M2oD
The Years of Death and Dying,4dVudcK5JtTjsz2pjWfHni,0.544,0.979,-5.201,0.0642,3.36e-05,0.771,0.106,0.435,144.985,5,0,https://open.spotify.com/track/4dVudcK5JtTjsz2pjWfHni
I Got No Friends,40uoWwjCun3axkfsQSUa8Z,0.496,0.963,-5.148,0.085,3.97e-05,0.00173,0.0879,0.244,130.026,1,1,https://open.spotify.com/track/40uoWwjCun3axkfsQSUa8Z
A Perfect Day to Die,74pjm7MZkov3oHfPQLZKoR,0.424,0.971,-7.376,0.13,7.12e-06,0.0302,0.214,0.322,146.016,10,0,https://open.spotify.com/track/74pjm7MZkov3oHfPQLZKoR
Days Of The Lost,34JGsiDkpgQ9KtjKNOO3h4,0.37,0.993,-3.551,0.13,0.00015,0.0692,0.364,0.295,172.025,5,1,https://open.spotify.com/track/34JGsiDkpgQ9KtjKNOO3h4
Reaggression,0Q81O7nuF9F1WxAyQ8UtEJ,0.474,0.976,-5.616,0.104,1.16e-05,7.87e-05,0.281,0.162,139.968,10,0,https://open.spotify.com/track/0Q81O7nuF9F1WxAyQ8UtEJ
Rising Fire,5uEOhWDWr4gN9YMgZNVGRB,0.477,0.887,-4.272,0.0626,7.68e-05,0.0,0.0588,0.387,119.948,2,1,https://open.spotify.com/track/5uEOhWDWr4gN9YMgZNVGRB
PvP,46HFTyFqLMzSye98Arqa98,0.436,0.963,-6.861,0.0826,5.13e-05,0.0,0.138,0.515,169.921,7,1,https://open.spotify.com/track/46HFTyFqLMzSye98Arqa98
The Fairies Dance,2va05YoGLMgWLiVnQJFOQa,0.548,0.887,-4.187,0.0331,0.00616,0.0,0.432,0.38,133.04,5,0,https://open.spotify.com/track/2va05YoGLMgWLiVnQJFOQa
I Am Alive,3AZoyMf5d6CvZowm2sa5y4,0.517,0.98,-4.011,0.102,1.97e-06,0.00191,0.0758,0.0422,110.023,7,1,https://open.spotify.com/track/3AZoyMf5d6CvZowm2sa5y4
Creatures Of The Dark Realm,3pKt0cqu9kyUzftP41AXXh,0.394,0.924,-4.786,0.0549,2.5e-05,7.11e-05,0.319,0.561,174.796,2,0,https://open.spotify.com/track/3pKt0cqu9kyUzftP41AXXh
No More Hollywood Endings,4LlEtj8I2XUhkrXFzBBtFJ,0.504,0.924,-3.466,0.0373,0.000948,0.0,0.29,0.374,93.036,4,0,https://open.spotify.com/track/4LlEtj8I2XUhkrXFzBBtFJ
Snowblood,3pkfVWPONcWQU5UAxWyALx,0.529,0.983,-3.186,0.125,2.41e-05,0.0148,0.0763,0.359,125.017,11,1,https://open.spotify.com/track/3pkfVWPONcWQU5UAxWyALx
King Of The Kings,58Jv0IEayRVpeeSMilqdvD,0.484,0.965,-5.553,0.0615,0.000293,0.00101,0.467,0.302,150.023,2,1,https://open.spotify.com/track/58Jv0IEayRVpeeSMilqdvD
Symphony Of Destruction,51TG9W3y9qyO8BY5RXKgnZ,0.61,0.891,-5.452,0.0587,0.000805,0.0928,0.0657,0.51,139.903,4,0,https://open.spotify.com/track/51TG9W3y9qyO8BY5RXKgnZ
